RuleNumber,ApplicableForms
0204,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
0207,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A"
0210,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0211,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
0212,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0213,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0214,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0215,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,DEF 14A,DEF 14C,DEFA14A,DEFA14C,DEFC14A,DEFC14C,DEFM14A,DEFM14C,DEFR14A,DEFR14C,PRE 14A,PRE 14C,PREC14A,PREC14C,PREM14A,PREM14C,PRER14A,PRER14C,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
0216,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0217,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
0218,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,8-K,8-K/A,6-K,8-K"
0219,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,8-K,8-K/A,6-K,8-K"
0220,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
0221,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K"
0222,"10-K,10-K/A,10-KT,10-KT/A,20-F,20-F/A,40-F,40-F/A,10-Q,10-Q/A,10-QT,10-QT/A,SBSEF-FIN-QTR,SBSEF-FIN-QTR/A,F-1,F-1/A,F-10,F-10/A,F-10EF,F-1MEF,F-3,F-3/A,F-3ASR,F-3D,F-3MEF,F-4,F-4/A,POS AM,POS462B,POS462C,POSASR,S-1,S-1/A,S-3,S-3/A,S-4,S-4/A,S-11,S-11/A,8-K,8-K/A,6-K,8-K,11-K,11-K/A,11-KT"
